video_id,trending_date,title,channel_title,category_id,publish_date,time_frame,published_day_of_week,publish_country,views,likes,dislikes,comment_count
GgVmn66oK_A,17.16.11,Which Countries Are About To Collapse?,NowThis World,25,12-11-17,14:00 to 14:59,Sunday,JP,727427,9459,1446,3292
qC0I5PEhkJo,17.16.11,The perfect ice - Ice boats on Lake Geneva,MattMasonPhotography,17,14-01-10,15:00 to 15:59,Thursday,US,99999,143,12,32
iIxy3JN3-jc,17.16.11,LeBron James admits he was ripping Phil Jackson and thinks DeShaun Watson should be the Browns qu...,Cleveland Cavaliers on cleveland.com,25,13-11-17,15:00 to 15:59,Monday,BR,85742,278,128,174
MNiweoKXwfg,17.16.11,Watch Norman Reedus Come Face to Face with his Ã¢â‚¬ËœWalking DeadÃ¢â‚¬â„¢ Double,INSIDER,24,13-11-17,17:00 to 17:59,Monday,CA,20529,318,11,41
JBZTZZAcFTw,17.16.11,"What $4,800 Will Get You In NYC | Sweet Digs Home Tour | Refinery29",Refinery29,26,12-11-17,16:00 to 16:59,Sunday,IN,237111,2323,786,636
lBHPVE3AI6Y,17.16.11,Iran-Iraq border earthquake is deadliest of 2017 - BBC News,BBC News,25,13-11-17,15:00 to 15:59,Monday,JP,104295,423,45,551
eAyxMv4IBH8,17.16.11,Review of the ION Bottleless Water Cooler,Frank May,23,12-11-17,0:00 to 0:59,Sunday,US,409445,6345,331,299
ZAQs-ctOqXQ,17.16.11,One Change That Would Make Pacific Rim a Classic,Cracked,23,12-11-17,17:00 to 17:59,Sunday,AU,365006,9431,741,1278
fcVjitaM3LY,17.16.11,78557 and Proth Primes - Numberphile,Numberphile,28,13-11-17,12:00 to 12:59,Monday,BR,174023,7010,72,632
SFdO-19Xdho,17.16.11,Clean Bandit - I Miss You feat. Julia Michaels in the Radio 1 Live Lounge,BBC Radio 1,10,14-11-17,16:00 to 16:59,Tuesday,IN,37575,1679,21,82
qeWvgZLz9yU,17.16.11,A Smart... MUG?! - Take apart a Heated Thermos!,JerryRigEverything,26,13-11-17,16:00 to 16:59,Monday,JP,248499,13613,359,1870
6VhU_T463sU,17.16.11,The Making of Hela's Headdress from Thor: Ragnarok,Tested,28,12-11-17,15:00 to 15:59,Sunday,GB,327935,4345,175,261
qK8AcryiniI,17.16.11,Donald Trump makes ASEAN handshake photo op go awry,Rappler,25,13-11-17,9:00 to 9:59,Monday,US,59466,39,14,34
p2hJxyF7mok,17.16.11,New Emirates First Class Suite | Boeing 777 | Emirates,Emirates,19,12-11-17,5:00 to 5:59,Sunday,IN,403564,2581,159,477
wwZ-T_WQ03A,17.16.11,Rick and Morty: Why Morty Matters,ScreenPrism,1,12-11-17,16:00 to 16:59,Sunday,US,264129,6161,356,579
9XSULcLI6Hg,17.16.11,Kellyanne Conway on Roy Moore This Week Abc: TrumpÃ¢â‚¬â„¢s Not Being Briefed On This Bit By Bit 11/12/17,JimBrowski 96HourNews,25,12-11-17,15:00 to 15:59,Sunday,IN,36859,23,10,135
NZFhMSgbKKM,17.16.11,Dennis Smith Jr. and LeBron James go back and forth,Ben Rohrbach,17,13-11-17,15:00 to 15:59,Monday,US,22101,83,74,61
hz7ukDjuq4w,17.16.11,What's Inside a Detectives Car?,officer401,24,12-11-17,23:00 to 23:59,Sunday,GB,133296,5012,159,737
dRpNZV18N_g,17.16.11,SPAGHETTI BURRITO VS SPAGHETTI BURRITO,HellthyJunkFood,24,12-11-17,14:00 to 14:59,Sunday,AU,297046,9905,266,1551
MKLlDnUqho4,17.16.11,Dead Beat Sirah ft. Skrillex (official video),SIRAH,10,14-11-17,16:00 to 16:59,Tuesday,IN,28147,1801,48,263
vWYyZMH_QjA,17.16.11,Casey Neistat made a video about me,Shantell Martin,1,13-11-17,17:00 to 17:59,Monday,IN,46308,4511,91,442
Lz7dya576HY,17.16.11,Why a New York Ice Cream Shop is Releasing Ham Ice Cream Ã¢â‚¬â€ The Meat Show,Eater,26,13-11-17,15:00 to 15:59,Monday,AU,33513,607,42,70
CBVGjS_EJok,17.16.11,Amazon Christmas Advert 2017 - Toys & Games,Amazon.co.uk,24,06-11-17,17:00 to 17:59,Monday,BR,102878,225,182,0
ijJPFowBsBc,17.16.11,HUGE BEAUTY FAVOURITES! AUTUMN LOVES!,EstÃƒÂ©e Lalonde,22,12-11-17,17:00 to 17:59,Sunday,IN,136066,4355,158,318
pjuPpVLXDQg,17.16.11,Train Swipes Parked Vehicle,ViralHog,2,13-11-17,0:00 to 0:59,Monday,CA,100120,154,15,48
JwboxqDylgg,17.16.11,"Canada Soccer's Women's National Team v USA International Friendly LIVE from Avaya Stadium, San Jose",Canada Soccer,17,13-11-17,5:00 to 5:59,Monday,IN,42472,303,32,36
dQvIbulWCM4,17.16.11,Celebrities on Thanksgiving 2017!,Niki and Gabi,23,12-11-17,23:00 to 23:59,Sunday,GB,863232,46439,1828,3708
n1WpP7iowLc,17.16.11,Eminem - Walk On Water (Audio) ft. BeyoncÃƒÂ©,EminemVEVO,10,10-11-17,17:00 to 17:59,Friday,IN,22702386,869304,50018,123227
VJlSq6h0LNg,17.16.11,HOL HD: Mike Riley Monday Press Conference,Gregg Peterson,17,13-11-17,18:00 to 18:59,Monday,CA,6904,18,58,53
KLZl_sxSN_g,17.16.11,WWSB Channel 7:   Sarasota Police stepping up pedestrian and bicyclist safety enforcement,Sarasota Police Department,25,08-11-17,19:00 to 19:59,Wednesday,BR,1338,4,0,0
n30k5CwLhS4,17.16.11,Nick Andopolis: Drummer,FaeryInLoveInc,1,29-05-11,17:00 to 17:59,Sunday,GB,58604,828,253,305
0mlNzVSJrT0,17.16.11,Me-O Cats Commercial,Nobrand,22,21-04-17,6:00 to 6:59,Friday,GB,121979,2901,210,595
bqgVB6Vl-lI,17.16.11,All of Jim's Best Pranks  - The Office US,The Office US,24,11-11-17,17:00 to 17:59,Saturday,US,215222,4720,55,264
BWPrk9PUwQE,17.16.11,iPhone X vs Makeup Transformation (Face ID TEST),dope2111,26,12-11-17,0:00 to 0:59,Sunday,CA,1826373,37692,2026,2759
QKwgif8OW1w,17.16.11,Vostok Brompton Beach Ride,Vostok.bike,19,21-10-17,15:00 to 15:59,Saturday,US,1118,6,0,2
PABlVzeldaM,17.16.11,U.S. Navy Three Carrier Formation in Western Pacific Ocean,U.S. Navy,25,12-11-17,13:00 to 13:59,Sunday,AU,251684,769,95,748
qooQd8AA7_M,17.16.11,"Camila Cabello, Daddy Yankee - Havana (Remix - Audio)",CamilaCabelloVEVO,10,12-11-17,5:00 to 5:59,Sunday,US,6355501,424406,6451,28735
0tO_l_Ed5Rs,17.16.11,Matthew Santoro - FACTS (Official Music Video) f. Ellevan & Humble the Poet,MatthewSantoro,10,11-11-17,16:00 to 16:59,Saturday,IN,381688,16467,18775,8352
1WDj0DddCcM,17.16.11,WATCH: Sen. Mitch McConnell on tax reform,WLKY News Louisville,25,13-11-17,16:00 to 16:59,Monday,US,6743,11,35,16
#NAME?,17.16.11,Coach Taggart Monday Presser Ahead of Arizona,GoDucksdotcom,17,13-11-17,20:00 to 20:59,Monday,US,687,10,2,5
w0XYVssCKjw,17.16.11,JaVale McGee's Parking Lot Chronicles: Episode 3,Kevin Durant,17,11-11-17,20:00 to 20:59,Saturday,IN,190543,6369,137,518
0PpNlNJ6Nng,17.16.11,Will It Watermarble?! Sister Edition | Watermarbling 9 random objects in nail polish!,Simply Nailogical,24,11-11-17,19:00 to 19:59,Saturday,JP,2083918,106243,1461,12707
STI2fI7sKMo,17.16.11,WE GOOGLED OURSELVES | Shawn and Andrew,Shawn Johnson East,22,11-11-17,15:00 to 15:59,Saturday,IN,350422,4735,1839,744
sH0Agabp3Rs,17.16.11,Lord of the Rings TV Series Lands At Amazon & Will Explore New Stories,Hybrid Network,24,13-11-17,19:00 to 19:59,Monday,IN,8088,280,4,145
ZhSk8mPSWCg,17.16.11,'Lord of the Rings' TV Series Gets Multi-Season Order At Amazon | News Flash | Entertainment Weekly,Entertainment Weekly,24,13-11-17,20:00 to 20:59,Monday,IN,3839,48,3,25
DM-ni_LSOFE,17.16.11,"ELDERS REACT TO iPHONE X (Facial Recognition, Animojis)",FBE,24,10-11-17,23:00 to 23:59,Friday,JP,2328148,48904,3008,8459
c-3JxzN2u34,17.16.11,Lin-Manuel Miranda's next act: Helping rebuild Puerto Rico,CBS Sunday Morning,25,12-11-17,15:00 to 15:59,Sunday,GB,10309,254,7,19
9t9u_yPEidY,17.16.11,"Jennifer Lopez - Amor, Amor, Amor (Official Video) ft. Wisin",JenniferLopezVEVO,10,10-11-17,15:00 to 15:59,Friday,US,15432746,233172,19513,12709
9KIP-Ncp2jU,17.16.11,Bill Gates bought land in Arizona to build tech city,12 News,22,11-11-17,1:00 to 1:59,Saturday,CA,92327,182,45,0
eijd-yjXY9E,17.16.11,Apple iPhone X - One Week Later,Mark Linsangan,28,13-11-17,15:00 to 15:59,Monday,BR,9036,427,14,79
KODzih-pYlU,17.16.11,BLIND(folded) CAKE DECORATING CONTEST (with Molly Burke) // Grace Helbig,Grace Helbig,22,11-11-17,18:00 to 18:59,Saturday,US,216234,7715,230,470
fGTfbMioezc,17.16.11,Marvel's Inhumans,LOFTON SHAW,1,25-10-17,23:00 to 23:59,Wednesday,GB,5119,20,1,3
ujyTQNNjjDU,17.16.11,G-Eazy - The Plan (Official Video),GEazyMusicVEVO,10,10-11-17,5:00 to 5:59,Friday,AU,4435991,139054,4059,6887
8tbQHHso0oY,17.16.11,Bellator 187: Conor McGregor storms the Bellator MMA Cage,BellatorMMA,17,10-11-17,19:00 to 19:59,Friday,BR,1249702,1988,299,1554
4v0nOAzcG2A,17.16.11,The Super Google Pixel 2 Camera Upgrade!,Jonathan Morrison,28,11-11-17,15:00 to 15:59,Saturday,GB,300601,10497,382,991
6340tX9M_eM,17.16.11,Batman: Gotham by Gaslight - Exclusive Trailer (2018),IGN,24,10-11-17,19:00 to 19:59,Friday,JP,616371,8926,461,1026
8mhTWqWlQzU,17.16.11,Wearing Online Dollar Store Makeup For A Week,Safiya Nygaard,22,11-11-17,1:00 to 1:59,Saturday,AU,3031863,121285,1186,6852
L_5_slz4ke4,17.16.11,Some NFL players call for an end to Thursday night football after 8 players were injured last week,ABC News,25,12-11-17,20:00 to 20:59,Sunday,CA,10542,77,22,65
t4YAyT4ihIQ,17.16.11,Getting My Driver's License | Lele Pons,Lele Pons,23,10-11-17,18:00 to 18:59,Friday,JP,3790933,127412,8857,5449
i4YQRLQVixM,17.16.11,How Bkav tricked iPhone X's Face ID with a mask,Bkav Corp,28,10-11-17,7:00 to 7:59,Friday,US,1167646,2691,916,1122
1cgK-BIrXes,17.16.11,#VeteransDay: Thank You for Everything,YouTube Spotlight,24,10-11-17,15:00 to 15:59,Friday,CA,849499,27121,2042,5181
ObIQ0s02UHg,17.16.11,Jason Derulo - Tip Toe feat. French Montana (Official Lyric Video),Jason Derulo,10,10-11-17,14:00 to 14:59,Friday,AU,2398093,48511,2221,1843
Jw1Y-zhQURU,17.16.11,John Lewis Christmas Ad 2017 - #MozTheMonster,John Lewis,26,10-11-17,7:00 to 7:59,Friday,CA,7727696,59673,11124,7350
lY_0mkYDZDU,17.16.11,Foster The People - Sit Next to Me (Official Video),fosterthepeopleVEVO,10,10-11-17,17:00 to 17:59,Friday,IN,383308,20371,627,1732
9Th4qTv-4jE,17.16.11,dapulse is now monday.com. And there's a good reason why.,"monday.com, formerly dapulse",28,13-11-17,8:00 to 8:59,Monday,JP,5366,19,0,2
k8NxqyGcZA4,17.16.11,Rosie OÃ¢â‚¬â„¢Donnell On Donald TrumpÃ¢â‚¬â„¢s Hostility Toward Her | WWHL,Watch What Happens Live with Andy Cohen,24,10-11-17,12:00 to 12:59,Friday,JP,272466,2586,5609,2323
_Iz83-Cmt6A,17.16.11,Little Big Town with Jimmy Webb - Wichita Lineman (Live from the CMA Awards),CMAVEVO,10,09-11-17,22:00 to 22:59,Thursday,AU,58135,519,69,65
2Vv-BfVoq4g,17.16.11,Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,10,09-11-17,11:00 to 11:59,Thursday,US,43449654,1788960,24548,93428
gLswXiRLdkA,17.16.11,A VERY #EXTRA EBAY SHOPPING HAUL!,Amber Scholl,26,11-11-17,2:00 to 2:59,Saturday,US,525210,24412,1259,1847
MyEqfBkzESU,17.16.11,EXTREME GOLDEN TAN TRANSFORMATION,John Maclean,26,10-11-17,20:00 to 20:59,Friday,IN,390261,9474,3091,3207
OKoL852K9uA,17.16.11,ICE PRIMER? DOES IT WORK?!,mayratouchofglam,26,11-11-17,5:00 to 5:59,Saturday,CA,122772,3912,298,403
